scenario,method,fs,noise_sigma,rmse_med,rmse_iqr,bias_med,n_seeds
circle_r15_v5,central,2.0,0.0,0.02311601919754904,3.7995373729643456e-06,-0.02311601919754904,10
circle_r15_v5,central,2.0,0.01,0.02684964878283674,0.0013551068839164106,-0.022811201213116833,10
circle_r15_v5,central,2.0,0.05,0.07375371584479526,0.012081883817313108,-0.021198668576577637,10
circle_r15_v5,central,2.0,0.2,0.2828712027035823,0.05493561097690791,-0.009553631755793567,10
circle_r15_v5,central,5.0,0.0,0.003702880745525831,2.1663153468814804e-06,-0.0037028807455258307,10
circle_r15_v5,central,5.0,0.01,0.035104544479106256,0.001886182051639207,-0.003427626724570051,10
circle_r15_v5,central,5.0,0.05,0.17438290203361445,0.009822272296320128,0.0005412548429802401,10
circle_r15_v5,central,5.0,0.2,0.693623219710761,0.039499713203694164,0.056367363528289575,10
circle_r15_v5,central,10.0,0.0,0.0009271266116039167,2.8900405522723363e-06,-0.0009260531714704932,10
circle_r15_v5,central,10.0,0.01,0.06939527426332373,0.003893020579738421,-0.0005508458133689117,10
circle_r15_v5,central,10.0,0.05,0.3465660897438737,0.018039435192332753,0.01057854168173954,10
circle_r15_v5,central,10.0,0.2,1.3789044797473018,0.0377261549114114,0.19561871902815609,10
circle_r15_v5,central,50.0,0.0,3.866379230494249e-05,3.286424717690957e-06,-3.758727027879963e-05,10
circle_r15_v5,central,50.0,0.01,0.36185508953306106,0.021727601445008515,0.012516519474974983,10
circle_r15_v5,central,50.0,0.05,1.7595766382871556,0.08140734659095727,0.34483135014167504,10
circle_r15_v5,central,50.0,0.2,7.294659733731173,0.5242078256270934,5.0448312875231665,10
circle_r15_v5,cubic_global,2.0,0.0,7.282480503658048e-05,4.887992022683152e-07,-3.366698850156226e-05,10
circle_r15_v5,cubic_global,2.0,0.01,0.024180398209976597,0.006143636705254762,0.00045451330028651655,10
circle_r15_v5,cubic_global,2.0,0.05,0.12090819896183996,0.03093993373364312,0.0034973129216613044,10
circle_r15_v5,cubic_global,2.0,0.2,0.4838174884435017,0.12302858800079769,0.03193719386713906,10
circle_r15_v5,cubic_global,5.0,0.0,6.882036403286472e-06,1.3114572646421594e-07,-1.2725306494599298e-06,10
circle_r15_v5,cubic_global,5.0,0.01,0.057162055988825906,0.003033452025694383,0.0005318003594795076,10
circle_r15_v5,cubic_global,5.0,0.05,0.2852713919077443,0.016880375020849603,0.010124700747791784,10
circle_r15_v5,cubic_global,5.0,0.2,1.1314125838892255,0.08916802544459568,0.15296793494148447,10
circle_r15_v5,cubic_global,10.0,0.0,3.628264463072084e-08,4.602038533822917e-09,-3.4382480590062915e-08,10
circle_r15_v5,cubic_global,10.0,0.01,0.11738718303566881,0.010990204976670526,0.00020851148728545134,10
circle_r15_v5,cubic_global,10.0,0.05,0.5876121771569425,0.0534786824141813,0.031860913071791924,10
circle_r15_v5,cubic_global,10.0,0.2,2.259370492766335,0.15724225808739511,0.6008495862258818,10
circle_r15_v5,cubic_global,50.0,0.0,1.055703461118714e-10,1.0310359525209877e-10,-6.866855043643542e-11,10
circle_r15_v5,cubic_global,50.0,0.01,1.0249324456299589,1.876347517969585,0.1018827041722725,10
circle_r15_v5,cubic_global,50.0,0.05,5.903853501548069,10.875336366993842,2.0414844659770233,10
circle_r15_v5,cubic_global,50.0,0.2,26.935319889067486,44.771240606396574,15.623781461806797,10
circle_r15_v5,family_a_W3,2.0,0.0,0.0007955875552859023,4.0906499291799153e-07,-0.0007955875552859023,10
circle_r15_v5,family_a_W3,2.0,0.01,0.009418376670934115,0.003196182565618856,-0.0005980820234684887,10
circle_r15_v5,family_a_W3,2.0,0.05,0.04661530841954607,0.016217892034720967,0.0003066944985869655,10
circle_r15_v5,family_a_W3,2.0,0.2,0.186588675445587,0.06426084291522596,0.005343176163355205,10
circle_r15_v5,family_a_W3,5.0,0.0,2.05225752692051e-05,3.914053482328812e-08,-2.0521102943618062e-05,10
circle_r15_v5,family_a_W3,5.0,0.01,0.02546108414139249,0.00196226813659953,0.00013953110147888983,10
circle_r15_v5,family_a_W3,5.0,0.05,0.12719300227768737,0.009626703191870811,0.0020374364381729503,10
circle_r15_v5,family_a_W3,5.0,0.2,0.5075859931730873,0.03570505499057153,0.02720034413403396,10
